name,2010,2011,2012,2013,2014,2015,2016
Alabama,3.65,3.76,3.86,3.94,4.01,4.12,4.21
Alaska,7.58,8.14,8.34,8.11,7.91,7.24,6.84
Arizona,3.83,3.93,4.04,4.08,4.17,4.26,4.36
Arkansas,3.52,3.65,3.70,3.87,3.97,3.98,4.04
California,5.27,5.41,5.61,5.81,6.08,6.40,6.64
Colorado,5.02,5.13,5.25,5.44,5.71,5.75,5.84
Connecticut,6.55,6.53,6.66,6.70,6.81,7.14,7.36
Delaware,6.39,6.61,6.62,6.62,7.07,7.31,7.42
District of Columbia,17.16,17.39,17.28,17.20,17.56,17.94,18.47
Florida,3.90,3.88,3.95,4.06,4.19,4.37,4.49
Georgia,4.25,4.33,4.43,4.55,4.74,4.93,5.10
Hawaii,5.00,5.08,5.20,5.30,5.43,5.67,5.88
Idaho,3.52,3.58,3.64,3.78,3.88,3.96,4.00
Illinois,5.09,5.28,5.52,5.60,5.80,6.00,6.17
Indiana,4.35,4.47,4.59,4.74,4.92,5.04,5.15
Iowa,4.64,4.85,5.14,5.25,5.46,5.63,5.71
Kansas,4.50,4.77,4.89,4.96,5.09,5.22,5.26
Kentucky,3.82,3.93,4.04,4.11,4.21,4.34,4.44
Louisiana,5.12,5.16,5.25,5.07,5.21,5.10,5.03
Maine,3.88,3.88,3.96,4.02,4.16,4.32,4.45
Maryland,5.42,5.56,5.65,5.73,5.88,6.12,6.30
Massachusetts,6.13,6.31,6.51,6.58,6.79,7.18,7.44
Michigan,3.90,4.04,4.21,4.33,4.48,4.74,4.90
Minnesota,5.08,5.28,5.45,5.62,5.81,5.96,6.07
Mississippi,3.23,3.26,3.40,3.46,3.49,3.54,3.60
Missouri,4.27,4.28,4.42,4.57,4.66,4.82,4.94
Montana,3.87,4.13,4.22,4.27,4.41,4.45,4.42
Nebraska,5.04,5.43,5.50,5.72,5.96,6.00,6.05
Nevada,4.50,4.59,4.57,4.62,4.71,4.92,5.05
New Hampshire,4.87,4.94,5.06,5.17,5.33,5.56,5.80
New Jersey,5.56,5.59,5.82,6.00,6.12,6.36,6.55
New Mexico,4.17,4.29,4.32,4.34,4.53,4.46,4.46
New York,6.21,6.31,6.65,6.78,7.08,7.35,7.58
North Carolina,4.35,4.43,4.50,4.62,4.78,4.98,5.10
North Dakota,5.37,6.15,7.49,7.61,8.09,7.42,6.91
Ohio,4.32,4.58,4.77,4.88,5.10,5.23,5.38
Oklahoma,3.99,4.33,4.56,4.83,5.07,4.81,4.66
Oregon,4.98,5.16,5.05,5.01,5.13,5.39,5.54
Pennsylvania,4.69,4.83,5.00,5.16,5.35,5.54,5.67
Rhode Island,4.68,4.72,4.84,4.95,5.09,5.27,5.43
South Carolina,3.54,3.64,3.70,3.81,3.96,4.13,4.23
South Dakota,4.68,5.13,5.17,5.29,5.36,5.51,5.58
Tennessee,3.97,4.11,4.31,4.44,4.57,4.80,4.95
Texas,4.93,5.24,5.51,5.80,5.98,5.86,5.79
Utah,4.24,4.41,4.49,4.60,4.78,5.00,5.14
Vermont,4.26,4.41,4.50,4.58,4.70,4.85,4.99
Virginia,5.25,5.30,5.39,5.44,5.52,5.76,5.88
Washington,5.33,5.43,5.64,5.82,6.03,6.23,6.44
West Virginia,3.63,3.82,3.82,3.89,4.00,3.98,4.01
Wisconsin,4.44,4.60,4.76,4.91,5.06,5.23,5.36
Wyoming,6.93,7.32,6.98,7.04,7.18,6.73,6.48
